administration_date,fips,locality,health_district,facility_type,vaccine_manufacturer,dose_number,vaccine_doses_administered,Population,region
2021-05-28,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,1,19,0,other
2021-05-28,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,1,24,0,other
2021-05-28,Not Reported,Not Reported,Not Reported,Other Community Health Providers,J&J,1,10,0,other
2021-05-28,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,1,268,0,other
2021-05-28,Not Reported,Not Reported,Not Reported,Local Health Departments,J&J,1,2,0,other
2021-05-28,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,2,73,0,other
2021-05-28,Not Reported,Not Reported,Not Reported,Medical Practices,J&J,1,19,0,other
2021-05-28,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,2,21,0,other
2021-05-28,Not Reported,Not Reported,Not Reported,Hospitals,J&J,1,4,0,other
2021-05-28,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,1,86,0,other
2021-05-28,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,2,63,0,other
2021-05-28,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,1,82,0,other
2021-05-28,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,2,80,0,other
2021-05-28,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,1,35,0,other
2021-05-28,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,2,27,0,other
2021-05-28,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,2,249,0,other
2021-05-28,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,2,50,0,other
2021-05-28,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,2,181,0,other
2021-05-28,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,1,60,0,other
2021-05-28,Not Reported,Not Reported,Not Reported,Pharmacies,J&J,1,72,0,other
2021-05-28,Not Reported,Not Reported,Not Reported,Hospitals,Moderna,2,18,0,other
2021-05-28,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,2,90,0,other
2021-05-28,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,1,90,0,other
2021-05-28,Out of State,Out of State,Out of State,Hospitals,J&J,1,3,0,other
2021-05-28,Out of State,Out of State,Out of State,Medical Practices,Pfizer,1,30,0,other
2021-05-28,Out of State,Out of State,Out of State,Hospitals,Pfizer,1,5,0,other
2021-05-28,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,2,43,0,other
2021-05-28,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,1,2,0,other
2021-05-28,Out of State,Out of State,Out of State,Local Health Departments,Moderna,2,34,0,other
2021-05-28,Out of State,Out of State,Out of State,Pharmacies,Pfizer,1,276,0,other
2021-05-28,Out of State,Out of State,Out of State,Pharmacies,Pfizer,2,136,0,other
2021-05-28,Out of State,Out of State,Out of State,Pharmacies,Moderna,1,147,0,other
2021-05-28,Out of State,Out of State,Out of State,Hospitals,Pfizer,2,7,0,other
2021-05-28,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,1,19,0,other
2021-05-28,Out of State,Out of State,Out of State,Pharmacies,Moderna,2,222,0,other
2021-05-28,Out of State,Out of State,Out of State,Medical Practices,Moderna,1,21,0,other
2021-05-28,Out of State,Out of State,Out of State,Pharmacies,J&J,1,114,0,other
2021-05-28,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,2,35,0,other
2021-05-28,Out of State,Out of State,Out of State,Other Community Health Providers,J&J,1,3,0,other
2021-05-28,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,1,31,0,other
2021-05-28,Out of State,Out of State,Out of State,Medical Practices,J&J,1,3,0,other
2021-05-28,Out of State,Out of State,Out of State,Local Health Departments,Moderna,1,6,0,other
2021-05-28,Out of State,Out of State,Out of State,Medical Practices,Moderna,2,21,0,other
2021-05-28,Out of State,Out of State,Out of State,Hospitals,Moderna,1,1,0,other
2021-05-28,Out of State,Out of State,Out of State,Medical Practices,Pfizer,2,31,0,other
2021-05-28,Out of State,Out of State,Out of State,Local Health Departments,J&J,1,1,0,other
2021-05-28,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,2,3,0,other
2021-05-28,Out of State,Out of State,Out of State,Hospitals,Moderna,2,18,0,other
2021-05-27,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,2,66,0,other
2021-05-27,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,2,197,0,other
2021-05-27,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,2,70,0,other
2021-05-27,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,2,3,0,other
2021-05-27,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,2,228,0,other
2021-05-27,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,1,34,0,other
2021-05-27,Not Reported,Not Reported,Not Reported,Pharmacies,J&J,1,51,0,other
2021-05-27,Not Reported,Not Reported,Not Reported,Hospitals,Moderna,2,18,0,other
2021-05-27,Not Reported,Not Reported,Not Reported,Medical Practices,J&J,1,11,0,other
2021-05-27,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,1,110,0,other
2021-05-27,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,2,59,0,other
2021-05-27,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,1,81,0,other
2021-05-27,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,2,36,0,other
2021-05-27,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,1,308,0,other
2021-05-27,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,1,30,0,other
2021-05-27,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,2,78,0,other
2021-05-27,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,1,18,0,other
2021-05-27,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,2,51,0,other
2021-05-27,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,1,73,0,other
2021-05-27,Not Reported,Not Reported,Not Reported,Hospitals,J&J,1,7,0,other
2021-05-27,Not Reported,Not Reported,Not Reported,Other Community Health Providers,J&J,1,10,0,other
2021-05-27,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,1,49,0,other
2021-05-27,Not Reported,Not Reported,Not Reported,Local Health Departments,J&J,1,10,0,other
2021-05-27,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,1,29,0,other
2021-05-27,Out of State,Out of State,Out of State,Hospitals,J&J,1,2,0,other
2021-05-27,Out of State,Out of State,Out of State,Pharmacies,Moderna,2,254,0,other
2021-05-27,Out of State,Out of State,Out of State,Hospitals,Pfizer,1,4,0,other
2021-05-27,Out of State,Out of State,Out of State,Medical Practices,J&J,1,6,0,other
2021-05-27,Out of State,Out of State,Out of State,Hospitals,Moderna,2,13,0,other
2021-05-27,Out of State,Out of State,Out of State,Medical Practices,Moderna,1,9,0,other
2021-05-27,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,1,2,0,other
2021-05-27,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,1,24,0,other
2021-05-27,Out of State,Out of State,Out of State,Medical Practices,Pfizer,1,38,0,other
2021-05-27,Out of State,Out of State,Out of State,Local Health Departments,Moderna,2,13,0,other
2021-05-27,Out of State,Out of State,Out of State,Local Health Departments,J&J,1,6,0,other
2021-05-27,Out of State,Out of State,Out of State,Pharmacies,Pfizer,1,273,0,other
2021-05-27,Out of State,Out of State,Out of State,Medical Practices,Pfizer,2,36,0,other
2021-05-27,Out of State,Out of State,Out of State,Pharmacies,Moderna,1,133,0,other
2021-05-27,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,2,27,0,other
2021-05-27,Out of State,Out of State,Out of State,Pharmacies,Pfizer,2,155,0,other
2021-05-27,Out of State,Out of State,Out of State,Other Community Health Providers,J&J,1,6,0,other
2021-05-27,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,1,30,0,other
2021-05-27,Out of State,Out of State,Out of State,Medical Practices,Moderna,2,30,0,other
2021-05-27,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,2,53,0,other
2021-05-27,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,2,5,0,other
2021-05-27,Out of State,Out of State,Out of State,Hospitals,Moderna,1,2,0,other
2021-05-27,Out of State,Out of State,Out of State,Pharmacies,J&J,1,71,0,other
2021-05-27,Out of State,Out of State,Out of State,Local Health Departments,Moderna,1,8,0,other
2021-05-26,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,2,75,0,other
2021-05-26,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,2,142,0,other
2021-05-26,Not Reported,Not Reported,Not Reported,Local Health Departments,J&J,1,16,0,other
2021-05-26,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,2,45,0,other
2021-05-26,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,2,44,0,other
2021-05-26,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,1,22,0,other
2021-05-26,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,1,382,0,other
2021-05-26,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,1,35,0,other
2021-05-26,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,2,75,0,other
2021-05-26,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,2,57,0,other
2021-05-26,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,2,282,0,other
2021-05-26,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,2,52,0,other
2021-05-26,Not Reported,Not Reported,Not Reported,Medical Practices,J&J,1,12,0,other
2021-05-26,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,1,36,0,other
2021-05-26,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,1,30,0,other
2021-05-26,Not Reported,Not Reported,Not Reported,Other Community Health Providers,J&J,1,9,0,other
2021-05-26,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,1,89,0,other
2021-05-26,Not Reported,Not Reported,Not Reported,Pharmacies,J&J,1,59,0,other
2021-05-26,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,1,61,0,other
2021-05-26,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,1,122,0,other
2021-05-26,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,1,91,0,other
2021-05-26,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,2,260,0,other
2021-05-26,Out of State,Out of State,Out of State,Local Health Departments,J&J,1,8,0,other
2021-05-26,Out of State,Out of State,Out of State,Local Health Departments,Moderna,2,19,0,other
2021-05-26,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,2,34,0,other
2021-05-26,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,2,3,0,other
2021-05-26,Out of State,Out of State,Out of State,Medical Practices,Pfizer,2,27,0,other
2021-05-26,Out of State,Out of State,Out of State,Local Health Departments,Moderna,1,15,0,other
2021-05-26,Out of State,Out of State,Out of State,Other Community Health Providers,J&J,1,5,0,other
2021-05-26,Out of State,Out of State,Out of State,Medical Practices,J&J,1,4,0,other
2021-05-26,Out of State,Out of State,Out of State,Pharmacies,Moderna,1,204,0,other
2021-05-26,Out of State,Out of State,Out of State,Hospitals,J&J,1,2,0,other
2021-05-26,Out of State,Out of State,Out of State,Medical Practices,Moderna,1,15,0,other
2021-05-26,Out of State,Out of State,Out of State,Pharmacies,J&J,1,62,0,other
2021-05-26,Out of State,Out of State,Out of State,Hospitals,Moderna,1,1,0,other
2021-05-26,Out of State,Out of State,Out of State,Hospitals,Pfizer,1,14,0,other
2021-05-26,Out of State,Out of State,Out of State,Pharmacies,Pfizer,2,164,0,other
2021-05-26,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,1,2,0,other
2021-05-26,Out of State,Out of State,Out of State,Pharmacies,Moderna,2,226,0,other
2021-05-26,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,1,34,0,other
2021-05-26,Out of State,Out of State,Out of State,Medical Practices,Pfizer,1,51,0,other
2021-05-26,Out of State,Out of State,Out of State,Hospitals,Pfizer,2,60,0,other
2021-05-26,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,1,12,0,other
2021-05-26,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,2,57,0,other
2021-05-26,Out of State,Out of State,Out of State,Hospitals,Moderna,2,1,0,other
2021-05-26,Out of State,Out of State,Out of State,Medical Practices,Moderna,2,30,0,other
2021-05-26,Out of State,Out of State,Out of State,Pharmacies,Pfizer,1,331,0,other
2021-05-25,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,2,107,0,other
2021-05-25,Not Reported,Not Reported,Not Reported,Local Health Departments,J&J,1,33,0,other
2021-05-25,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,2,59,0,other
2021-05-25,Not Reported,Not Reported,Not Reported,Hospitals,Moderna,1,3,0,other
2021-05-25,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,1,17,0,other
2021-05-25,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,2,57,0,other
2021-05-25,Not Reported,Not Reported,Not Reported,Other Community Health Providers,J&J,1,23,0,other
2021-05-25,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,2,279,0,other
2021-05-25,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,2,105,0,other
2021-05-25,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,1,35,0,other
2021-05-25,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,1,98,0,other
2021-05-25,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,2,192,0,other
2021-05-25,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,1,149,0,other
2021-05-25,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,1,313,0,other
2021-05-25,Not Reported,Not Reported,Not Reported,Hospitals,Moderna,2,5,0,other
2021-05-25,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,1,14,0,other
2021-05-25,Not Reported,Not Reported,Not Reported,Medical Practices,J&J,1,11,0,other
2021-05-25,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,2,9,0,other
2021-05-25,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,2,91,0,other
2021-05-25,Not Reported,Not Reported,Not Reported,Hospitals,J&J,1,3,0,other
2021-05-25,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,1,82,0,other
2021-05-25,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,1,109,0,other
2021-05-25,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,2,137,0,other
2021-05-25,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,1,19,0,other
2021-05-25,Not Reported,Not Reported,Not Reported,Pharmacies,J&J,1,76,0,other
2021-05-25,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,1,4,0,other
2021-05-25,Out of State,Out of State,Out of State,Medical Practices,Pfizer,1,38,0,other
2021-05-25,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,2,17,0,other
2021-05-25,Out of State,Out of State,Out of State,Medical Practices,Pfizer,2,19,0,other
2021-05-25,Out of State,Out of State,Out of State,Other Community Health Providers,J&J,1,4,0,other
2021-05-25,Out of State,Out of State,Out of State,Local Health Departments,Moderna,1,25,0,other
2021-05-25,Out of State,Out of State,Out of State,Local Health Departments,Moderna,2,32,0,other
2021-05-25,Out of State,Out of State,Out of State,Pharmacies,Pfizer,1,318,0,other
2021-05-25,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,1,39,0,other
2021-05-25,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,2,14,0,other
2021-05-25,Out of State,Out of State,Out of State,Local Health Departments,J&J,1,7,0,other
2021-05-25,Out of State,Out of State,Out of State,Pharmacies,Moderna,1,280,0,other
2021-05-25,Out of State,Out of State,Out of State,Medical Practices,Moderna,1,14,0,other
2021-05-25,Out of State,Out of State,Out of State,Hospitals,Moderna,2,1,0,other
2021-05-25,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,1,28,0,other
2021-05-25,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,2,52,0,other
2021-05-25,Out of State,Out of State,Out of State,Medical Practices,J&J,1,4,0,other
2021-05-25,Out of State,Out of State,Out of State,Hospitals,Pfizer,2,2,0,other
2021-05-25,Out of State,Out of State,Out of State,Hospitals,J&J,1,2,0,other
2021-05-25,Out of State,Out of State,Out of State,Pharmacies,J&J,1,93,0,other
2021-05-25,Out of State,Out of State,Out of State,Pharmacies,Moderna,2,226,0,other
2021-05-25,Out of State,Out of State,Out of State,Medical Practices,Moderna,2,46,0,other
2021-05-25,Out of State,Out of State,Out of State,Pharmacies,Pfizer,2,150,0,other
2021-05-25,Out of State,Out of State,Out of State,Hospitals,Pfizer,1,5,0,other
2021-05-24,Not Reported,Not Reported,Not Reported,Pharmacies,J&J,1,54,0,other
2021-05-24,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,1,91,0,other
2021-05-24,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,1,8,0,other
2021-05-24,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,2,33,0,other
2021-05-24,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,2,44,0,other
2021-05-24,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,1,17,0,other
2021-05-24,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,1,301,0,other
2021-05-24,Not Reported,Not Reported,Not Reported,Other Community Health Providers,J&J,1,19,0,other
2021-05-24,Not Reported,Not Reported,Not Reported,Local Health Departments,J&J,1,4,0,other
2021-05-24,Not Reported,Not Reported,Not Reported,Medical Practices,J&J,1,2,0,other
2021-05-24,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,1,13,0,other
2021-05-24,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,2,184,0,other
2021-05-24,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,2,53,0,other
2021-05-24,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,2,235,0,other
2021-05-24,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,1,21,0,other
2021-05-24,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,2,48,0,other
2021-05-24,Not Reported,Not Reported,Not Reported,Hospitals,J&J,1,2,0,other
2021-05-24,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,1,255,0,other
2021-05-24,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,2,13,0,other
2021-05-24,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,1,140,0,other
2021-05-24,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,2,12,0,other
2021-05-24,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,2,116,0,other
2021-05-24,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,1,74,0,other
2021-05-24,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,1,65,0,other
2021-05-24,Out of State,Out of State,Out of State,Pharmacies,Pfizer,1,294,0,other
2021-05-24,Out of State,Out of State,Out of State,Pharmacies,Pfizer,2,155,0,other
2021-05-24,Out of State,Out of State,Out of State,Pharmacies,Moderna,1,195,0,other
2021-05-24,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,2,14,0,other
2021-05-24,Out of State,Out of State,Out of State,Local Health Departments,Moderna,1,3,0,other
2021-05-24,Out of State,Out of State,Out of State,Hospitals,Moderna,1,1,0,other
2021-05-24,Out of State,Out of State,Out of State,Local Health Departments,J&J,1,5,0,other
2021-05-24,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,2,92,0,other
2021-05-24,Out of State,Out of State,Out of State,Other Community Health Providers,J&J,1,8,0,other
2021-05-24,Out of State,Out of State,Out of State,Hospitals,Pfizer,1,14,0,other
2021-05-24,Out of State,Out of State,Out of State,Local Health Departments,Moderna,2,18,0,other
2021-05-24,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,2,4,0,other
2021-05-24,Out of State,Out of State,Out of State,Pharmacies,J&J,1,70,0,other
2021-05-24,Out of State,Out of State,Out of State,Medical Practices,Pfizer,2,20,0,other
2021-05-24,Out of State,Out of State,Out of State,Hospitals,Moderna,2,1,0,other
2021-05-24,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,1,33,0,other
2021-05-24,Out of State,Out of State,Out of State,Medical Practices,Moderna,1,9,0,other
2021-05-24,Out of State,Out of State,Out of State,Pharmacies,Moderna,2,226,0,other
2021-05-24,Out of State,Out of State,Out of State,Medical Practices,Pfizer,1,34,0,other
2021-05-24,Out of State,Out of State,Out of State,Hospitals,Pfizer,2,5,0,other
2021-05-24,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,1,3,0,other
2021-05-24,Out of State,Out of State,Out of State,Medical Practices,Moderna,2,19,0,other
2021-05-23,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,1,1,0,other
2021-05-23,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,1,23,0,other
2021-05-23,Not Reported,Not Reported,Not Reported,Pharmacies,J&J,1,190,0,other
2021-05-23,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,2,2,0,other
2021-05-23,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,1,19,0,other
2021-05-23,Not Reported,Not Reported,Not Reported,Other Community Health Providers,J&J,1,3,0,other
2021-05-23,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,1,67,0,other
2021-05-23,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,2,5,0,other
2021-05-23,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,2,32,0,other
2021-05-23,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,2,100,0,other
2021-05-23,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,2,1,0,other
2021-05-23,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,1,3,0,other
2021-05-23,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,1,4,0,other
2021-05-23,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,2,5,0,other
2021-05-23,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,1,14,0,other
2021-05-23,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,2,140,0,other
2021-05-23,Not Reported,Not Reported,Not Reported,Hospitals,Moderna,2,11,0,other
2021-05-23,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,2,23,0,other
2021-05-23,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,1,220,0,other
2021-05-23,Not Reported,Not Reported,Not Reported,Hospitals,Moderna,1,3,0,other
2021-05-23,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,1,2,0,other
2021-05-23,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,1,11,0,other
2021-05-23,Out of State,Out of State,Out of State,Local Health Departments,Moderna,2,29,0,other
2021-05-23,Out of State,Out of State,Out of State,Other Community Health Providers,J&J,1,1,0,other
2021-05-23,Out of State,Out of State,Out of State,Medical Practices,Moderna,1,2,0,other
2021-05-23,Out of State,Out of State,Out of State,Pharmacies,Moderna,1,123,0,other
2021-05-23,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,2,1,0,other
2021-05-23,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,2,18,0,other
2021-05-23,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,2,1,0,other
2021-05-23,Out of State,Out of State,Out of State,Medical Practices,Moderna,2,3,0,other
2021-05-23,Out of State,Out of State,Out of State,Medical Practices,Pfizer,1,2,0,other
2021-05-23,Out of State,Out of State,Out of State,Pharmacies,Moderna,2,171,0,other
2021-05-23,Out of State,Out of State,Out of State,Pharmacies,Pfizer,1,223,0,other
2021-05-23,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,1,4,0,other
2021-05-23,Out of State,Out of State,Out of State,Medical Practices,Pfizer,2,4,0,other
2021-05-23,Out of State,Out of State,Out of State,Medical Practices,J&J,1,1,0,other
2021-05-23,Out of State,Out of State,Out of State,Pharmacies,Pfizer,2,101,0,other
2021-05-23,Out of State,Out of State,Out of State,Pharmacies,J&J,1,81,0,other
2021-05-22,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,2,21,0,other
2021-05-22,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,2,165,0,other
2021-05-22,Not Reported,Not Reported,Not Reported,Hospitals,Moderna,2,4,0,other
2021-05-22,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,2,206,0,other
2021-05-22,Not Reported,Not Reported,Not Reported,Pharmacies,J&J,1,61,0,other
2021-05-22,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,1,16,0,other
2021-05-22,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,2,191,0,other
2021-05-22,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,2,57,0,other
2021-05-22,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,1,89,0,other
2021-05-22,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,1,238,0,other
2021-05-22,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,2,95,0,other
2021-05-22,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,1,123,0,other
2021-05-22,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,2,247,0,other
2021-05-22,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,1,40,0,other
2021-05-22,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,2,69,0,other
2021-05-22,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,2,29,0,other
2021-05-22,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,1,144,0,other
2021-05-22,Not Reported,Not Reported,Not Reported,Local Health Departments,J&J,1,10,0,other
2021-05-22,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,1,492,0,other
2021-05-22,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,1,5,0,other
2021-05-22,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,1,110,0,other
2021-05-22,Not Reported,Not Reported,Not Reported,Other Community Health Providers,J&J,1,22,0,other
2021-05-22,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,2,71,0,other
2021-05-22,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,2,87,0,other
2021-05-22,Out of State,Out of State,Out of State,Medical Practices,Moderna,1,7,0,other
2021-05-22,Out of State,Out of State,Out of State,Other Community Health Providers,J&J,1,8,0,other
2021-05-22,Out of State,Out of State,Out of State,Hospitals,Pfizer,1,18,0,other
2021-05-22,Out of State,Out of State,Out of State,Hospitals,Moderna,2,3,0,other
2021-05-22,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,1,95,0,other
2021-05-22,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,1,45,0,other
2021-05-22,Out of State,Out of State,Out of State,Medical Practices,Pfizer,1,73,0,other
2021-05-22,Out of State,Out of State,Out of State,Local Health Departments,Moderna,2,12,0,other
2021-05-22,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,2,35,0,other
2021-05-22,Out of State,Out of State,Out of State,Pharmacies,Moderna,1,145,0,other
2021-05-22,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,1,9,0,other
2021-05-22,Out of State,Out of State,Out of State,Hospitals,Moderna,1,1,0,other
2021-05-22,Out of State,Out of State,Out of State,Hospitals,Pfizer,2,8,0,other
